"Day","Cash On Hand"
0,3500000
1,3487400
2,3281480
3,2411668
4,1814180
5,487729
6,445464
7,530217
8,598904
9,504377
10,987085
11,1275628
12,1744423
13,2328020
14,2258437
15,1864389
16,1390456
17,3056200
18,2737276
19,2896591
20,3076802
21,2334018
22,2546135
23,2744269
24,2837416
25,2818195
26,3834310
27,3805371
28,3563361
29,3647183
30,3811065
31,2745042
32,2590423
33,4011444
34,3972922
35,4090210
36,2671876
37,3318082
38,3455055
39,5404069
40,5925715
41,5450016
42,5340876
43,5043928
44,4220105
45,5653436
46,5757273
47,5991981
48,6027168
49,6108423
50,5745321
51,6893787
52,6961449
53,7914043
54,7858228
55,8510183
56,9050052
57,9439628
58,9996755
59,10081953
60,10069305
61,10232349
62,10204848
63,11296347
64,11468326
65,11549567
66,11143596
67,11731296
68,11843344
69,11652473
70,11118499
71,11558890
72,11592648
73,11840574
74,12419013
75,11694007
76,12039565
77,12391846
78,13032309
79,13859852
80,14287344
81,16172875
82,16528615
83,15523835
84,15557268
85,15604534
86,15614238
87,17730788
88,18408871
89,18479566
90,17995699
